"id","Type","Flavor","Filling","Size","Layers","Frosting Type","Frosting Flavor","Decoration Type","Decoration Color","Custom Message","Shape","Allergies","Special Ingredients","Packaging Type","Price","Quantity"
"0","Sponge","Vanilla","Cream","20","2","Buttercream","Vanilla","Sprinkles","Multi-color","Happy Birthday","Round","Nut-Free","Organic Ingredients","Standard Box","50","1"
"1","Chocolate","Chocolate","Ganache","25","3","Fondant","Chocolate","Fondant Figures","Red","Congrats","Square","Gluten-Free","Vegan","Luxury Box with Ribbon","75","2"
"2","Fruit","Lemon","Jam","15","1","Whipped Cream","Lemon","Edible Flowers","Yellow","","Heart-Shaped","None","Sugar-Free","Standard Box","40","1"
"3","Red Velvet","Red Velvet","Cream Cheese","30","4","Buttercream","Vanilla","Edible Glitter","Gold","Happy Anniversary","Round","Dairy-Free","Vegan","Luxury Box","90","1"
"4","Sponge","Strawberry","Cream","20","3","Buttercream","Strawberry","Sprinkles","Pink","Happy Baby Shower","Round","None","Organic","Standard Box with Ribbon","60","1"
"5","Sponge","Red Velvet","Cream Cheese","25","2","Buttercream","Chocolate","Edible Beads","Silver","Congratulations","Square","Nut-Free","Organic Ingredients","Standard Box","65","1"
"6","Chocolate","Chocolate","Cream","30","3","Fondant","Chocolate","Custom Shapes","Brown","Happy Graduation","Round","Gluten-Free","None","Luxury Box","85","2"
"7","Fruit","Pineapple","Fruit","20","2","Whipped Cream","Pineapple","Fruit Slices","Yellow","","Heart-Shaped","None","None","Standard Box with Ribbon","55","1"
"8","Sponge","Vanilla","Jam","15","1","Buttercream","Vanilla","Edible Letters","White","Just Married","Round","None","None","Standard Box","45","1"
"9","Chocolate","Dark Chocolate","Ganache","25","4","Fondant","Chocolate","Gold Flakes","Gold","Happy 50th Anniversary","Square","Nut-Free","Sugar-Free","Luxury Box with Ribbon","100","1"
"10","Fruit","Vanilla","Jam","20","2","Whipped Cream","Chocolate","Fruit Slices","White","Best Software Engineer","Square","None","Organic Ingredients","Luxury Box with Ribbon","165","10"
"11","Birthday","Vanilla","Strawberry Jam","8","2","Buttercream","Vanilla","Flowers","Pink","Happy Birthday!","Round","None","Edible Gold Dust","Box","10","1"
"12","Birthday","Vanilla","Strawberry Jam","8","2","Buttercream","Vanilla","Flowers","Pink","Happy Birthday!","Round","None","Edible Gold Dust","Box","20","3"
"13","Red Velvet","Vanilla","Cream","30","2","Buttercream","Chocolate","Edible Glitter","Gold","Congratulations","Square","Nut-Free","Organic","Luxury Box","153","4"
"14","Red Velvet","Lemon","Jam","8","1","Whipped Cream","Caramel","Gold Flakes","Multi-color","Happy Birthday","Heart-Shaped","Dairy-Free","Organic","Standard Box with Ribbon","72","3"
"15","Red Velvet","Pineapple","Ganache","15","1","Buttercream","Coffee","Fondant Figures","Yellow","Congratulations","Heart-Shaped","Gluten-Free","None","Luxury Box","32","5"
"16","Birthday","Red Velvet","Mousse","25","2","Fondant","Pineapple","Fruit Slices","White","Thank You","Heart-Shaped","Dairy-Free","Organic","Luxury Box with Ribbon","147","1"
"17","Sponge","Strawberry","Jam","15","1","Ganache","Coffee","Sprinkles","White","Happy Birthday","Rectangle","None","None","Standard Box","38","1"
"18","Birthday","Red Velvet","Ganache","8","2","Ganache","Caramel","Sprinkles","Blue","Congratulations","Square","Nut-Free","Organic","Standard Box","53","1"
"19","Coffee","Pineapple","Ganache","15","2","Ganache","Lemon","Fruit Slices","Pink","Happy Birthday","Oval","None","Organic","Standard Box","198","2"
"20","Chocolate","Red Velvet","Cream Cheese","15","2","Ganache","Strawberry","Fondant Figures","Yellow","Thank You","Rectangle","Gluten-Free","Organic","Luxury Box","186","5"
"21","Red Velvet","Lemon","Ganache","20","2","Buttercream","Lemon","Fruit Slices","Multi-color","Best Wishes","Round","Dairy-Free","Organic","Luxury Box","178","2"
"22","Birthday","Red Velvet","Ganache","15","3","Fondant","Caramel","Fondant Figures","Purple","Best Wishes","Square","Dairy-Free","Organic","Standard Box with Ribbon","168","5"
